Timestamp,Channel_0_mV,Channel_1_mV
2025-08-10 18:48:17.671843,285.9908142089844,224.20364379882812
2025-08-10 18:48:17.688348,249.50765991210938,222.94180297851562
2025-08-10 18:48:17.688848,219.0186767578125,222.90660095214844
2025-08-10 18:48:17.689348,205.19497680664062,223.6598358154297
2025-08-10 18:48:17.689848,212.8349609375,225.09361267089844
2025-08-10 18:48:17.690348,236.87599182128906,226.74867248535156
2025-08-10 18:48:17.690848,258.43170166015625,227.2079315185547
2025-08-10 18:48:17.691348,287.9447326660156,226.36959838867188
2025-08-10 18:48:17.691848,293.9931335449219,224.91331481933594
2025-08-10 18:48:17.708448,262.1785583496094,223.5372314453125
2025-08-10 18:48:17.708948,227.53594970703125,223.06295776367188
2025-08-10 18:48:17.709448,207.677978515625,223.0361328125
