EMG1,EMG2
4.416046067490242e-06,-7.22625600246829e-07
5.2457276069617365e-06,3.7469490621333534e-07
7.908736733952537e-06,-2.007277544180397e-08
8.639392035547644e-06,-8.510924089932814e-07
9.139876055996865e-06,3.305343625470414e-06
7.077143891365267e-06,8.37328514080582e-07
1.2746313586831093e-06,9.434279490960762e-07
-4.71937073598383e-06,3.0510861961374758e-06
-5.042321845394326e-06,1.2284633612580365e-06
-1.553280344523955e-05,4.109477231395431e-06
-1.578401861479506e-05,6.563850092788925e-06
-1.8868560800910927e-05,4.261639219294011e-07
-2.6691270250012167e-05,-5.34513674210757e-06
-2.131478140654508e-05,-2.740625177466427e-06
-7.863572136557195e-06,8.179717951861676e-07
-5.8140662986261304e-06,1.6530584900920076e-07
4.821966740564676e-06,-8.336960490851197e-06
3.2750590435171034e-06,-4.247011474944884e-06
1.1730626283679157e-05,3.7456095469678985e-06
1.6754212992964312e-05,5.84982274176582e-07
1.4996310710557736e-05,5.156919087312417e-06
9.736249012348708e-06,7.086612754392263e-07
5.09852679897449e-06,1.448596208319941e-06
-2.0426211904123193e-06,4.859256023337366e-06
-1.0376155614721938e-06,4.054732471558964e-06
-5.251674338069279e-06,6.765323178115068e-06
-5.83835617362638e-06,5.052644610259449e-06
-1.338933998340508e-05,8.211907697841525e-06
-9.916030649037566e-06,7.550100690423278e-06
-1.0528578059165739e-05,5.364007847674657e-06
-9.34395120566478e-06,6.2075564528640825e-06
-4.963482069797465e-07,4.384417024994036e-06
-1.5727728168712929e-06,1.0603240525597357e-06
3.620012421379215e-06,-1.075909040082479e-06
8.203141078411136e-06,9.055127065948909e-07
1.3996806046634447e-05,-3.025045316462638e-06
1.2846679965150543e-05,-3.655381135558855e-07
1.0404986824141815e-05,-1.764358785294462e-06
1.4607076991524082e-05,-2.9728012123086955e-06
7.827467925380915e-06,2.2697117856296245e-06
3.330197614559438e-06,2.9210912089183694e-06
-2.236963837276562e-06,3.480555051282863e-06
-7.129540335881757e-06,7.481732154701604e-06
